iter	Passed	Remaining
724	3141	18525
725	3145	18518
726	3150	18514
727	3157	18528
728	3160	18516
729	3163	18504
730	3166	18493
731	3172	18500
732	3181	18521
733	3191	18550
734	3196	18549
735	3202	18553
736	3211	18578
737	3214	18563
738	3217	18551
739	3222	18551
740	3227	18553
741	3235	18569
742	3242	18578
743	3247	18578
744	3253	18579
745	3257	18576
746	3261	18568
747	3268	18578
748	3273	18576
749	3276	18566
750	3280	18559
751	3282	18544
752	3285	18531
753	3290	18528
754	3293	18515
755	3297	18511
756	3300	18499
757	3306	18503
758	3308	18488
759	3312	18477
760	3314	18460
761	3316	18444
762	3319	18435
763	3330	18466
764	3334	18461
765	3340	18466
766	3347	18472
767	3353	18477
768	3357	18475
769	3365	18486
770	3372	18498
771	3378	18504
772	3388	18527
773	3392	18521
774	3401	18543
775	3405	18534
776	3409	18533
777	3416	18537
778	3420	18531
779	3428	18551
780	3435	18560
781	3440	18558
782	3443	18544
783	3447	18537
784	3450	18529
785	3455	18527
786	3459	18517
787	3465	18523
788	3475	18548
789	3481	18554
790	3494	18595
791	3505	18624
792	3511	18629
793	3520	18648
794	3528	18662
795	3532	18655
796	3538	18660
797	3541	18648
798	3545	18643
799	3548	18627
800	3552	18622
801	3560	18639
802	3575	18688
803	3580	18684
804	3585	18686
805	3590	18684
806	3597	18693
807	3604	18700
808	3611	18708
809	3616	18707
810	3619	18697
811	3625	18700
812	3629	18690
813	3634	18690
814	3637	18678
815	3642	18674
816	3652	18700
817	3657	18699
818	3660	18687
819	3666	18689
820	3672	18692
821	3680	18707
822	3685	18705
823	3694	18724
824	3707	18764
825	3718	18788
826	3727	18809
827	3733	18809
828	3737	18802
829	3740	18792
830	3747	18802
831	3751	18796
832	3755	18785
833	3758	18773
834	3761	18761
835	3765	18754
836	3768	18745
837	3774	18747
838	3779	18742
839	3783	18737
840	3791	18752
841	3797	18753
842	3808	18778
843	3812	18773
844	3820	18784
845	3825	18785
846	3829	18774
847	3832	18766
848	3836	18758
849	3842	18761
850	3846	18752
851	3848	18737
852	3851	18724
853	3854	18712
854	3858	18705
855	3863	18705
856	3867	18696
857	3872	18694
858	3876	18686
859	3882	18691
860	3886	18682
861	3890	18673
862	3892	18661
863	3896	18651
864	3899	18640
865	3905	18644
866	3908	18631
867	3911	18620
868	3914	18607
869	3921	18614
870	3924	18605
871	3928	18595
872	3931	18583
873	3935	18577
874	3937	18564
875	3941	18553
876	3944	18543
877	3947	18531
878	3951	18524
879	3954	18514
880	3959	18509
881	3961	18495
882	3963	18480
883	3966	18469
884	3969	18455
885	3971	18439
886	3974	18428
887	3976	18414
888	3979	18400
889	3982	18389
890	3986	18383
891	3989	18374
892	3993	18364
893	3995	18352
894	4000	18346
895	4002	18332
896	4005	18323
897	4008	18310
898	4011	18298
899	4014	18286
900	4017	18275
901	4019	18260
902	4022	18251
903	4025	18239
904	4027	18224
905	4029	18210
906	4032	18195
907	4034	18181
908	4036	18166
909	4038	18152
910	4041	18138
911	4043	18124
912	4045	18110
913	4048	18096
914	4050	18083
915	4053	18070
916	4055	18056
917	4058	18044
918	4061	18034
919	4063	18022
920	4066	18008
921	4068	17994
922	4073	17991
923	4076	17981
924	4079	17971
925	4082	17961
926	4085	17950
927	4088	17939
928	4091	17930
929	4094	17919
930	4097	17910
931	4101	17902
932	4104	17890
933	4106	17878
934	4109	17866
935	4112	17854
936	4114	17842
937	4117	17831
938	4120	17820
939	4122	17806
940	4125	17793
941	4127	17781
942	4129	17767
943	4132	17754
944	4134	17741
945	4137	17729
946	4139	17716
947	4141	17702
948	4143	17688
949	4146	17677
950	4149	17668
951	4153	17661
952	4156	17648
953	4158	17637
954	4161	17625
955	4164	17614
956	4166	17602
957	4169	17592
958	4172	17580
959	4174	17566
960	4176	17553
961	4178	17539
962	4181	17529
963	4183	17516
964	4186	17505
965	4188	17492
966	4193	17488
967	4197	17485
968	4200	17474
969	4203	17463
970	4206	17452
971	4208	17440
972	4211	17428
973	4213	17418
974	4216	17407
975	4219	17397
976	4222	17386
977	4225	17375
978	4228	17367
979	4232	17360
980	4236	17354
981	4238	17342
982	4240	17330
983	4243	17317
984	4245	17304
985	4248	17294
986	4252	17289
987	4255	17279
988	4257	17268
989	4260	17258
990	4263	17246
991	4266	17238
992	4269	17226
993	4272	17217
994	4274	17205
995	4277	17194
996	4280	17184
997	4282	17174
998	4284	17161
999	4287	17149
1000	4289	17137
1001	4291	17125
1002	4294	17112
1003	4296	17099
1004	4298	17087
1005	4300	17075
1006	4304	17066
1007	4309	17067
1008	4312	17058
1009	4315	17047
1010	4318	17037
1011	4320	17026
1012	4323	17015
1013	4325	17003
1014	4328	16995
1015	4331	16985
1016	4334	16976
1017	4337	16967
1018	4340	16958
1019	4343	16947
1020	4346	16938
1021	4349	16929
1022	4352	16920
1023	4358	16921
1024	4361	16914
1025	4367	16916
1026	4371	16910
1027	4374	16901
1028	4385	16925
1029	4391	16925
1030	4394	16916
1031	4397	16907
1032	4400	16898
1033	4402	16887
1034	4405	16876
1035	4408	16866
1036	4410	16857
1037	4413	16846
1038	4416	16836
1039	4419	16827
1040	4421	16815
1041	4424	16805
1042	4426	16794
1043	4429	16784
1044	4432	16773
1045	4434	16764
1046	4437	16753
1047	4440	16743
1048	4443	16734
1049	4448	16733
1050	4453	16733
1051	4456	16722
1052	4459	16713
1053	4461	16704
1054	4464	16694
1055	4467	16685
1056	4470	16675
1057	4473	16667
1058	4476	16657
1059	4478	16647
1060	4482	16639
1061	4485	16630
1062	4489	16626
1063	4492	16617
1064	4494	16606
1065	4497	16596
1066	4499	16586
1067	4502	16575
1068	4506	16571
1069	4512	16573
1070	4515	16564
1071	4518	16555
1072	4521	16546
1073	4523	16535
1074	4526	16525
1075	4529	16519
1076	4532	16510
