iter	Passed	Remaining
1028	5249	20257
1029	5254	20250
1030	5258	20244
1031	5263	20238
1032	5268	20233
1033	5273	20226
1034	5277	20218
1035	5283	20214
1036	5287	20207
1037	5292	20201
1038	5297	20197
1039	5302	20190
1040	5306	20182
1041	5312	20179
1042	5317	20175
1043	5322	20168
1044	5327	20162
1045	5332	20159
1046	5337	20152
1047	5342	20147
1048	5347	20142
1049	5352	20136
1050	5357	20129
1051	5362	20125
1052	5367	20119
1053	5372	20115
1054	5378	20112
1055	5383	20106
1056	5388	20102
1057	5395	20101
1058	5400	20097
1059	5405	20091
1060	5411	20091
1061	5417	20089
1062	5422	20083
1063	5428	20081
1064	5433	20077
1065	5439	20072
1066	5444	20068
1067	5450	20065
1068	5454	20058
1069	5460	20056
1070	5465	20051
1071	5470	20045
1072	5476	20043
1073	5481	20037
1074	5486	20030
1075	5490	20023
1076	5495	20018
1077	5500	20011
1078	5504	20003
1079	5510	20000
1080	5515	19994
1081	5519	19987
1082	5524	19982
1083	5529	19975
1084	5534	19969
1085	5539	19964
1086	5544	19958
1087	5548	19951
1088	5553	19945
1089	5559	19941
1090	5563	19934
1091	5568	19929
1092	5574	19926
1093	5579	19920
1094	5584	19914
1095	5589	19910
1096	5594	19903
1097	5599	19898
1098	5604	19892
1099	5608	19886
1100	5613	19880
1101	5618	19873
1102	5623	19868
1103	5628	19862
1104	5632	19855
1105	5637	19849
1106	5642	19843
1107	5647	19836
1108	5652	19830
1109	5657	19825
1110	5661	19818
1111	5666	19811
1112	5671	19807
1113	5676	19800
1114	5680	19793
1115	5686	19789
1116	5691	19785
1117	5696	19778
1118	5702	19777
1119	5707	19770
1120	5711	19764
1121	5716	19757
1122	5721	19752
1123	5726	19745
1124	5730	19738
1125	5735	19734
1126	5740	19728
1127	5745	19721
1128	5750	19717
1129	5755	19711
1130	5760	19704
1131	5764	19697
1132	5769	19691
1133	5774	19684
1134	5779	19680
1135	5784	19677
1136	5789	19670
1137	5794	19664
1138	5799	19659
1139	5804	19652
1140	5809	19647
1141	5813	19641
1142	5818	19634
1143	5823	19627
1144	5827	19621
1145	5832	19616
1146	5837	19609
1147	5842	19604
1148	5847	19599
1149	5852	19592
1150	5857	19587
1151	5861	19580
1152	5866	19574
1153	5871	19569
1154	5876	19563
1155	5881	19557
1156	5886	19551
1157	5890	19544
1158	5896	19540
1159	5901	19534
1160	5905	19528
1161	5910	19522
1162	5915	19517
1163	5920	19510
